"item_id","timestamp","units_sold","demand_drivers"
"CUST_003_ITEM_0243","2021-04-04","2437","{""avg_unit_price"" : 19.89, ""cust_instock"" : 0.9039}"
"CUST_003_ITEM_0243","2021-04-11","1715","{""avg_unit_price"" : 19.92, ""cust_instock"" : 0.8660}"
"CUST_003_ITEM_0243","2021-04-18","1561","{""avg_unit_price"" : 20, ""cust_instock"" : 0.8961}"
"CUST_003_ITEM_0243","2021-04-25","1728","{""avg_unit_price"" : 19.87, ""cust_instock"" : 0.9548}"
"CUST_003_ITEM_0243","2021-05-02","1932","{""avg_unit_price"" : 19.87, ""cust_instock"" : 0.9479}"
"CUST_003_ITEM_0243","2021-05-09","1771","{""avg_unit_price"" : 19.85, ""cust_instock"" : 0.9581}"
"CUST_003_ITEM_0243","2021-05-16","1939","{""avg_unit_price"" : 19.83, ""cust_instock"" : 0.9609}"
"CUST_003_ITEM_0243","2021-05-23","1874","{""avg_unit_price"" : 19.72, ""cust_instock"" : 0.9564}"
"CUST_003_ITEM_0243","2021-05-30","1992","{""avg_unit_price"" : 19.72, ""cust_instock"" : 0.9475}"
"CUST_003_ITEM_0243","2021-06-06","2064","{""avg_unit_price"" : 19.74, ""cust_instock"" : 0.9520}"
"CUST_003_ITEM_0243","2021-06-13","1900","{""avg_unit_price"" : 19.73, ""cust_instock"" : 0.9591}"
"CUST_003_ITEM_0243","2021-06-20","1949","{""avg_unit_price"" : 19.67, ""cust_instock"" : 0.9518}"
"CUST_003_ITEM_0243","2021-06-27","1980","{""avg_unit_price"" : 19.76, ""cust_instock"" : 0.9299}"
"CUST_003_ITEM_0243","2021-07-04","1891","{""avg_unit_price"" : 19.78, ""cust_instock"" : 0.9376}"
"CUST_003_ITEM_0243","2021-07-11","2492","{""avg_unit_price"" : 19.73, ""cust_instock"" : 0.9137}"
"CUST_003_ITEM_0243","2021-07-18","2497","{""avg_unit_price"" : 19.71, ""cust_instock"" : 0.8596}"
"CUST_003_ITEM_0243","2021-07-25","1984","{""avg_unit_price"" : 19.73, ""cust_instock"" : 0.8478}"
"CUST_003_ITEM_0243","2021-08-01","2011","{""avg_unit_price"" : 19.71, ""cust_instock"" : 0.8713}"
"CUST_003_ITEM_0243","2021-08-08","2215","{""avg_unit_price"" : 19.72, ""cust_instock"" : 0.8992}"
"CUST_003_ITEM_0243","2021-08-15","2432","{""avg_unit_price"" : 19.75, ""cust_instock"" : 0.9302}"
"CUST_003_ITEM_0243","2021-08-22","2272","{""avg_unit_price"" : 19.71, ""cust_instock"" : 0.9393}"
"CUST_003_ITEM_0243","2021-08-29","2259","{""avg_unit_price"" : 19.68, ""cust_instock"" : 0.9406}"
"CUST_003_ITEM_0243","2021-09-05","2238","{""avg_unit_price"" : 19.62, ""cust_instock"" : 0.9233}"
"CUST_003_ITEM_0243","2021-09-12","2364","{""avg_unit_price"" : 19.55, ""cust_instock"" : 0.9505}"
"CUST_003_ITEM_0243","2021-09-19","2402","{""avg_unit_price"" : 19.52, ""cust_instock"" : 0.9520}"
"CUST_003_ITEM_0243","2021-09-26","2311","{""avg_unit_price"" : 19.43, ""cust_instock"" : 0.9551}"
"CUST_003_ITEM_0243","2021-10-03","2500","{""avg_unit_price"" : 19.37, ""cust_instock"" : 0.9496}"
"CUST_003_ITEM_0243","2021-10-10","2508","{""avg_unit_price"" : 19.37, ""cust_instock"" : 0.9515}"
"CUST_003_ITEM_0243","2021-10-17","2893","{""avg_unit_price"" : 19.23, ""cust_instock"" : 0.9581}"
"CUST_003_ITEM_0243","2021-10-24","2898","{""avg_unit_price"" : 19.12, ""cust_instock"" : 0.9571}"
"CUST_003_ITEM_0243","2021-10-31","3341","{""avg_unit_price"" : 19.02, ""cust_instock"" : 0.9571}"
"CUST_003_ITEM_0243","2021-11-07","4414","{""avg_unit_price"" : 19.05, ""cust_instock"" : 0.9746}"
"CUST_003_ITEM_0243","2021-11-14","5761","{""avg_unit_price"" : 19.11, ""cust_instock"" : 0.9706}"
"CUST_003_ITEM_0243","2021-11-21","8165","{""avg_unit_price"" : 19.28, ""cust_instock"" : 0.9662}"
"CUST_003_ITEM_0243","2021-11-28","8698","{""avg_unit_price"" : 19.05, ""cust_instock"" : 0.9608}"
"CUST_003_ITEM_0243","2021-12-05","12518","{""avg_unit_price"" : 19.25, ""cust_instock"" : 0.9430}"
"CUST_003_ITEM_0243","2021-12-12","19261","{""avg_unit_price"" : 19.24, ""cust_instock"" : 0.8564}"
"CUST_003_ITEM_0243","2021-12-19","17393","{""avg_unit_price"" : 19.43, ""cust_instock"" : 0.4081}"
"CUST_003_ITEM_0243","2021-12-26","309","{""avg_unit_price"" : 20.71, ""cust_instock"" : 0.4183}"
"CUST_003_ITEM_0243","2022-01-02","506","{""avg_unit_price"" : 20.87, ""cust_instock"" : 0.5557}"
"CUST_003_ITEM_0243","2022-01-09","820","{""avg_unit_price"" : 20.48, ""cust_instock"" : 0.7234}"
"CUST_003_ITEM_0243","2022-01-16","1080","{""avg_unit_price"" : 20.71, ""cust_instock"" : 0.8541}"
"CUST_003_ITEM_0243","2022-01-23","1282","{""avg_unit_price"" : 20.55, ""cust_instock"" : 0.8789}"
"CUST_003_ITEM_0243","2022-01-30","1320","{""avg_unit_price"" : 20.6, ""cust_instock"" : 0.8936}"
"CUST_003_ITEM_0243","2022-02-06","1463","{""avg_unit_price"" : 20.79, ""cust_instock"" : 0.9071}"
"CUST_003_ITEM_0243","2022-02-13","1613","{""avg_unit_price"" : 20.78, ""cust_instock"" : 0.9477}"
"CUST_003_ITEM_0243","2022-02-20","1843","{""avg_unit_price"" : 21.02, ""cust_instock"" : 0.9705}"
"CUST_003_ITEM_0243","2022-02-27","2072","{""avg_unit_price"" : 20.88, ""cust_instock"" : 0.9745}"
"CUST_003_ITEM_0243","2022-03-06","1877","{""avg_unit_price"" : 20.82, ""cust_instock"" : 0.9725}"
"CUST_003_ITEM_0243","2022-03-13","1831","{""avg_unit_price"" : 20.91, ""cust_instock"" : 0.9552}"
"CUST_003_ITEM_0243","2022-03-20","1664","{""avg_unit_price"" : 20.87, ""cust_instock"" : 0.9549}"
"CUST_003_ITEM_0243","2022-03-27","1613","{""avg_unit_price"" : 20.73, ""cust_instock"" : 0.9553}"
"CUST_003_ITEM_0243","2022-04-03","1570","{""avg_unit_price"" : 20.81, ""cust_instock"" : 0.9396}"
